id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,land_slope,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,total_sf,bathrooms,porch_area,condition_1_pos,condition_2_pos,condition_1_neg,condition_2_neg,has_pool,has_fireplace,has_garage,has_basement,garage_and_cars,quality,fireplace_and_qual,liv_area_rms_abvgrnd,condition,salepricelog
109,533352170,60,RL,72.77464788732394,13517,Pave,2,4,4,3,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3.0,3.0,1.0,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,5,1,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,7,0,0.0,Attchd,1976.0,RFn,2.0,475.0,3.0,3.0,3,0,44,0,0,0,0,0,3,2010,WD ,130500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2204.0,3.0,44,0,0,1,0,0,0,1,1,950.0,288.0,0.0,8874,216.0,11.779128505744886
544,531379050,60,RL,43.0,11492,Pave,2,4,4,3,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4.0,3.0,1.0,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,5,1,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,7,1,3.0,Attchd,1997.0,RFn,2.0,559.0,3.0,3.0,3,0,74,0,0,0,0,0,4,2009,WD ,220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3035.0,4.0,74,0,0,0,0,0,1,1,1,1118.0,448.0,3.0,16976,135.0,12.301382825334498
153,535304180,20,RL,68.0,7922,Pave,1,4,4,3,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,3,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,7,0,0.0,Detchd,1953.0,Unf,1.0,246.0,3.0,3.0,3,0,52,0,0,0,0,0,1,2010,WD ,109000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2114.0,2.0,52,0,0,0,0,0,0,1,1,246.0,180.0,0.0,5285,252.0,11.59910316121128
318,916386060,60,RL,73.0,9802,Pave,1,4,4,3,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,1.0,Unf,0.0,Unf,0.0,384.0,384.0,GasA,4,1,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,7,0,0.0,BuiltIn,2007.0,Fin,2.0,400.0,3.0,3.0,3,100,0,0,0,0,0,0,4,2010,WD ,174000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1828.0,3.0,100,0,0,0,0,0,0,1,1,800.0,180.0,0.0,10108,135.0,12.066810578196666
255,906425045,50,RL,82.0,14235,Pave,2,4,4,3,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2.0,4.0,1.0,Unf,0.0,Unf,0.0,676.0,676.0,GasA,3,1,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,7,0,0.0,Detchd,1957.0,Unf,2.0,484.0,3.0,3.0,1,0,59,0,0,0,0,0,3,2010,WD ,138500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2121.0,2.0,59,0,0,0,0,0,0,1,1,968.0,108.0,0.0,8670,288.0,11.83862560460953
138,535126040,20,RL,137.0,16492,Pave,2,4,4,3,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3.0,3.0,1.0,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,5,1,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,4,1,4.0,Attchd,1966.0,Fin,2.0,578.0,3.0,3.0,3,0,0,0,0,0,0,0,6,2010,WD ,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405.0,3.0,0,1,0,0,0,0,1,1,1,1156.0,288.0,4.0,11328,162.0,12.154779351142624
2827,908186070,180,RM,35.0,3675,Pave,1,4,4,3,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4.0,3.0,4.0,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,4,1,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,7,0,0.0,Basment,2005.0,Fin,2.0,525.0,3.0,3.0,3,0,44,0,0,0,0,0,6,2006,New,140000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1619.0,3.0,44,0,0,0,0,0,0,1,1,1050.0,216.0,0.0,5360,135.0,11.84939770159144
145,535154050,20,RL,75.19245283018869,12160,Pave,2,4,4,3,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3.0,3.0,1.0,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,2,1,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,7,0,0.0,Attchd,1959.0,RFn,2.0,531.0,3.0,3.0,3,0,0,0,0,0,0,0,5,2010,COD,142000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2376.0,2.0,0,0,0,0,0,0,0,1,1,1062.0,135.0,0.0,7128,135.0,11.863582336583399
1942,535353130,20,RL,62.802547770700635,15783,Pave,1,4,4,3,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,Rec,292.0,Unf,0.0,632.0,924.0,GasA,3,1,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3,6,7,0,0.0,Detchd,1952.0,Unf,1.0,420.0,3.0,3.0,3,0,324,0,0,0,0,400,6,2007,WD ,112500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1848.0,1.0,324,0,0,1,0,0,0,1,1,420.0,135.0,0.0,5544,135.0,11.630708500626612
1956,535426130,60,RL,70.0,11606,Pave,2,2,4,1,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4.0,3.0,3.0,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,3,1,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,7,2,3.0,Attchd,1969.0,Unf,2.0,504.0,3.0,3.0,3,335,0,0,0,0,0,0,9,2007,WD ,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3120.0,4.0,335,0,0,0,0,0,1,1,1,1008.0,120.0,6.0,18720,135.0,11.813030057420567
