Lot Frontage,Lot Area,Lot Shape,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,Bsmtfin Sf 1,Bsmtfin Sf 2,Heating Qc,Central Air,Gr Liv Area,Bedroom Abvgr,Kitchen Abvgr,Kitchen Qual,Totrms Abvgrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Cars,Garage Area,Garage Qual,Garage Cond,Misc Val,Saleprice,Neighborhood Blueste,Neighborhood Brdale,Neighborhood Brkside,Neighborhood Clearcr,Neighborhood Collgcr,Neighborhood Crawfor,Neighborhood Edwards,Neighborhood Gilbert,Neighborhood Greens,Neighborhood Grnhill,Neighborhood Idotrr,Neighborhood Landmrk,Neighborhood Meadowv,Neighborhood Mitchel,Neighborhood Names,Neighborhood Npkvill,Neighborhood Nwames,Neighborhood Noridge,Neighborhood Nridght,Neighborhood Oldtown,Neighborhood Swisu,Neighborhood Sawyer,Neighborhood Sawyerw,Neighborhood Somerst,Neighborhood Stonebr,Neighborhood Timber,Neighborhood Veenker,Lot Config Culdsac,Lot Config Fr2,Lot Config Fr3,Lot Config Inside,Total Sf,Bathrooms,Porch Area,Condition 1 Pos,Condition 2 Pos,Condition 1 Neg,Condition 2 Neg,Has Fireplace,Garage And Cars,Quality Interaction,Fireplace And Qual,Sf Liv Area Interaction
72.77464788732394,13517,2,6,8,1976,2005,289.0,4,3,3.0,3.0,1.0,533.0,0.0,5,1,1479,3,1,4,6,7,0,0.0,1976.0,2.0,475.0,3.0,3.0,0,130500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2204.0,3.0,44,0,0,1,0,0,950.0,288.0,0.0,8874
43.0,11492,2,7,5,1996,1997,132.0,4,3,4.0,3.0,1.0,637.0,0.0,5,1,2122,4,1,4,8,7,1,3.0,1997.0,2.0,559.0,3.0,3.0,0,220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3035.0,4.0,74,0,0,0,0,1,1118.0,448.0,3.0,16976
68.0,7922,1,5,7,1953,2007,0.0,3,4,3.0,3.0,1.0,731.0,0.0,3,1,1057,3,1,4,5,7,0,0.0,1953.0,1.0,246.0,3.0,3.0,0,109000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2114.0,2.0,52,0,0,0,0,0,246.0,180.0,0.0,5285
73.0,9802,1,5,5,2006,2007,0.0,3,3,4.0,3.0,1.0,0.0,0.0,4,1,1444,3,1,3,7,7,0,0.0,2007.0,2.0,400.0,3.0,3.0,0,174000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1828.0,3.0,100,0,0,0,0,0,800.0,180.0,0.0,10108
82.0,14235,2,6,8,1900,1993,0.0,3,3,2.0,4.0,1.0,0.0,0.0,3,1,1445,3,1,3,6,7,0,0.0,1957.0,2.0,484.0,3.0,3.0,0,138500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2121.0,2.0,59,0,0,0,0,0,968.0,108.0,0.0,8670
137.0,16492,2,6,6,1966,2002,0.0,4,3,3.0,3.0,1.0,247.0,713.0,5,1,1888,2,1,4,6,4,1,4.0,1966.0,2.0,578.0,3.0,3.0,0,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405.0,3.0,0,1,0,0,0,1,1156.0,288.0,4.0,11328
35.0,3675,1,6,5,2005,2006,82.0,3,3,4.0,3.0,4.0,547.0,0.0,4,1,1072,2,1,3,5,7,0,0.0,2005.0,2.0,525.0,3.0,3.0,0,140000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1619.0,3.0,44,0,0,0,0,0,1050.0,216.0,0.0,5360
75.19245283018869,12160,2,5,5,1959,1959,180.0,3,3,3.0,3.0,1.0,1000.0,0.0,2,1,1188,3,1,3,6,7,0,0.0,1959.0,2.0,531.0,3.0,3.0,0,142000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2376.0,2.0,0,0,0,0,0,0,1062.0,135.0,0.0,7128
62.802547770700635,15783,1,5,5,1952,1952,0.0,3,3,3.0,3.0,1.0,292.0,0.0,3,1,924,2,1,3,6,7,0,0.0,1952.0,1.0,420.0,3.0,3.0,400,112500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1848.0,1.0,324,0,0,1,0,0,420.0,135.0,0.0,5544
70.0,11606,2,5,5,1969,1969,192.0,3,3,4.0,3.0,3.0,650.0,0.0,3,1,2080,5,1,2,9,7,2,3.0,1969.0,2.0,504.0,3.0,3.0,0,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3120.0,4.0,335,0,0,0,0,1,1008.0,120.0,6.0,18720
21.0,1680,1,6,5,1971,1971,232.0,3,3,3.0,3.0,1.0,387.0,0.0,3,1,987,2,1,3,4,7,0,0.0,1971.0,1.0,264.0,3.0,3.0,0,85400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1470.0,2.0,0,0,0,0,0,0,264.0,162.0,0.0,3948
64.0,7488,2,7,5,2005,2005,0.0,4,3,4.0,3.0,3.0,393.0,0.0,5,1,1208,2,1,4,6,7,0,0.0,2005.0,2.0,632.0,3.0,3.0,0,183600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2416.0,2.0,163,0,0,0,0,0,1264.0,448.0,0.0,7248
120.0,26400,1,5,7,1880,2007,0.0,4,3,0.0,0.0,0.0,0.0,0.0,5,1,2016,4,1,3,7,4,1,3.0,1900.0,2.0,576.0,3.0,3.0,0,131000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2016.0,1.0,0,0,0,1,0,1,1152.0,0.0,3.0,14112
24.0,2645,1,8,5,1999,2000,456.0,4,3,4.0,3.0,1.0,813.0,0.0,5,1,1607,3,1,4,7,7,0,0.0,2000.0,2.0,480.0,3.0,3.0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2567.0,4.0,169,0,0,0,0,0,960.0,512.0,0.0,11249
74.0,9627,1,7,5,2007,2007,0.0,4,3,4.0,3.0,3.0,24.0,0.0,5,1,1361,3,1,4,6,7,0,0.0,2007.0,2.0,610.0,3.0,3.0,0,193000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2712.0,2.0,50,0,0,0,0,0,1220.0,448.0,0.0,8166
93.0,10114,1,5,5,2004,2005,0.0,3,3,5.0,3.0,3.0,0.0,0.0,5,1,1430,3,1,4,7,7,0,0.0,2004.0,2.0,624.0,3.0,3.0,0,173500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2860.0,2.0,0,0,0,0,0,0,1248.0,300.0,0.0,10010
34.0,4571,1,5,5,1916,1950,0.0,3,3,3.0,3.0,1.0,0.0,0.0,2,0,1344,4,1,3,7,7,0,0.0,1916.0,3.0,513.0,2.0,2.0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1968.0,1.0,96,0,0,0,0,0,1539.0,135.0,0.0,9408
80.0,8816,1,5,6,1963,1963,0.0,3,3,3.0,3.0,1.0,651.0,0.0,3,1,1121,3,1,3,5,7,0,0.0,1963.0,2.0,480.0,3.0,3.0,0,139000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2242.0,2.0,80,0,0,1,0,0,960.0,135.0,0.0,5605
71.0,8197,1,6,5,1977,1977,148.0,3,3,3.0,3.0,1.0,0.0,0.0,5,1,1285,3,1,3,7,7,1,3.0,1977.0,2.0,528.0,3.0,3.0,0,143500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1945.0,2.0,138,0,0,0,0,1,1056.0,162.0,3.0,8995
72.0,8640,1,7,5,2009,2009,0.0,3,3,4.0,3.0,2.0,24.0,0.0,5,1,1547,3,1,4,7,7,0,0.0,2009.0,2.0,614.0,3.0,3.0,0,215200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2303.0,3.0,214,0,0,0,0,0,1228.0,336.0,0.0,10829
109.0,8724,1,5,5,1968,1968,0.0,3,3,4.0,3.0,1.0,492.0,0.0,4,1,894,3,1,3,5,7,1,1.0,1968.0,2.0,450.0,3.0,3.0,0,129000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1788.0,1.0,0,0,0,0,0,1,900.0,180.0,1.0,4470
40.0,5664,2,8,5,2000,2000,0.0,4,3,4.0,3.0,1.0,1158.0,0.0,5,1,1659,2,1,5,5,7,1,5.0,2000.0,2.0,499.0,3.0,3.0,0,278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3160.0,3.0,271,0,0,0,0,1,998.0,640.0,5.0,8295
103.0,12867,2,8,5,2005,2006,0.0,4,3,5.0,3.0,3.0,0.0,0.0,5,1,2253,3,1,5,8,7,1,4.0,2005.0,2.0,575.0,3.0,3.0,0,344133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3462.0,3.0,385,0,0,0,0,1,1150.0,800.0,4.0,18024
72.02564102564102,7980,2,6,7,1992,2007,0.0,3,4,4.0,3.0,1.0,935.0,0.0,5,1,1187,3,1,3,6,7,0,0.0,1992.0,2.0,420.0,3.0,3.0,500,185000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2355.0,3.0,504,0,0,0,0,0,840.0,216.0,0.0,7122
100.0,34650,1,5,5,1955,1955,0.0,3,3,3.0,3.0,2.0,1056.0,0.0,3,0,1056,3,1,3,5,7,0,0.0,1955.0,2.0,572.0,3.0,3.0,0,145000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2112.0,2.0,264,0,0,0,0,0,1144.0,135.0,0.0,5280
92.0,10573,2,6,6,1961,1961,3.0,3,3,3.0,3.0,1.0,1312.0,0.0,5,1,1453,3,1,3,6,7,1,3.0,1961.0,2.0,530.0,3.0,3.0,0,187500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2906.0,3.0,337,0,0,0,0,1,1060.0,162.0,3.0,8718
65.0,8450,1,5,8,1965,2009,0.0,3,4,3.0,3.0,1.0,553.0,117.0,5,1,894,3,1,3,5,7,1,4.0,1973.0,1.0,336.0,3.0,3.0,0,138500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1788.0,2.0,560,0,0,1,0,1,336.0,135.0,4.0,4470
69.27272727272727,11700,2,5,6,1937,1995,0.0,3,3,3.0,3.0,1.0,606.0,0.0,5,1,1938,4,1,4,7,5,1,4.0,1937.0,1.0,240.0,3.0,3.0,0,198000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2880.0,2.0,40,0,0,0,0,1,240.0,180.0,4.0,13566
75.0,8250,1,5,6,1895,2006,0.0,3,4,3.0,3.0,1.0,0.0,0.0,2,0,1991,4,2,3,9,7,0,0.0,1980.0,0.0,0.0,0.0,0.0,0,119600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2948.0,2.0,133,0,0,1,0,0,0.0,135.0,0.0,17919
60.0,8064,1,5,7,1949,2006,0.0,3,4,3.0,3.0,2.0,0.0,0.0,5,1,924,3,1,3,6,7,1,1.0,2003.0,2.0,576.0,3.0,3.0,2000,122900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1596.0,1.0,0,0,0,1,0,1,1152.0,135.0,1.0,5544
80.0,9600,1,8,5,1981,1981,0.0,4,3,4.0,3.0,1.0,1104.0,0.0,3,1,2524,4,1,4,9,7,1,4.0,1981.0,2.0,542.0,3.0,3.0,0,278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5048.0,4.0,594,1,0,0,0,1,1084.0,512.0,4.0,22716
69.27272727272727,11435,2,8,7,1929,1950,0.0,3,3,4.0,3.0,1.0,0.0,0.0,2,1,1517,3,1,4,7,7,2,4.0,1931.0,2.0,400.0,3.0,3.0,0,230000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309.0,1.0,0,0,0,0,0,1,800.0,384.0,8.0,10619
30.0,9549,2,8,5,1995,1996,0.0,4,4,4.0,4.0,3.0,437.0,1057.0,5,1,1494,2,1,5,6,7,1,4.0,1995.0,2.0,481.0,3.0,3.0,0,270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2988.0,3.0,246,0,0,0,0,1,962.0,640.0,4.0,8964
60.0,10950,1,6,6,1952,1952,0.0,3,3,3.0,3.0,1.0,441.0,0.0,3,1,948,2,1,3,5,7,0,0.0,1952.0,2.0,410.0,3.0,3.0,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1896.0,1.0,48,0,0,0,0,0,820.0,162.0,0.0,4740
79.0,10637,1,8,5,2007,2008,336.0,4,3,5.0,3.0,4.0,1288.0,0.0,5,1,1718,3,1,4,7,7,1,4.0,2007.0,3.0,826.0,3.0,3.0,0,297000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3423.0,3.0,252,0,0,0,0,1,2478.0,640.0,4.0,12026
80.0,9000,2,6,6,1958,1958,82.0,3,3,4.0,3.0,4.0,0.0,0.0,2,1,1142,2,1,3,5,7,1,4.0,1958.0,1.0,384.0,3.0,3.0,0,113500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1302.0,1.0,92,0,0,0,0,1,384.0,216.0,4.0,5710
41.0,2665,1,5,6,1977,1977,0.0,3,3,3.0,3.0,1.0,548.0,173.0,5,1,1475,4,1,3,6,7,1,3.0,1977.0,1.0,336.0,3.0,3.0,0,127000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2232.0,2.0,130,0,0,0,0,1,336.0,135.0,3.0,8850
105.0,11751,2,6,6,1977,1977,480.0,3,3,4.0,3.0,1.0,705.0,0.0,5,1,1844,3,1,3,7,7,1,3.0,1977.0,2.0,546.0,3.0,3.0,0,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3688.0,2.0,122,0,0,0,0,1,1092.0,216.0,3.0,12908
80.0,9600,1,7,6,1973,1973,320.0,3,3,3.0,3.0,1.0,916.0,0.0,2,1,1242,3,1,3,6,7,1,3.0,1973.0,2.0,528.0,3.0,3.0,0,175500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2484.0,2.0,0,0,0,0,0,1,1056.0,189.0,3.0,7452
60.0,8428,3,5,7,1994,1994,0.0,3,4,4.0,4.0,1.0,420.0,0.0,5,1,990,3,1,3,5,7,0,0.0,1995.0,1.0,384.0,3.0,3.0,0,146000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980.0,2.0,256,0,0,0,0,0,384.0,180.0,0.0,4950
75.0,9937,1,5,6,1965,1965,0.0,4,3,3.0,3.0,1.0,830.0,290.0,4,1,1256,3,1,3,6,7,0,0.0,1965.0,1.0,276.0,3.0,3.0,0,147500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2512.0,3.0,804,0,0,0,0,0,276.0,180.0,0.0,7536
107.0,13891,1,10,5,2006,2006,0.0,5,3,5.0,4.0,4.0,1386.0,0.0,5,1,2076,2,1,5,7,7,1,4.0,2006.0,3.0,850.0,3.0,3.0,0,465000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4152.0,4.0,445,0,0,0,0,1,2550.0,1250.0,4.0,14532
75.47692307692307,9101,2,5,6,1978,1978,104.0,3,4,4.0,3.0,3.0,1097.0,0.0,5,1,1110,1,1,4,4,7,1,3.0,1978.0,2.0,602.0,3.0,3.0,0,165500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2207.0,2.0,333,0,0,0,0,1,1204.0,240.0,3.0,4440
81.0,12150,1,5,5,1954,1954,335.0,3,3,3.0,3.0,1.0,0.0,0.0,5,0,1795,4,1,3,7,7,0,0.0,1954.0,1.0,352.0,2.0,3.0,0,131500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2845.0,2.0,0,0,0,0,0,0,352.0,135.0,0.0,12565
70.0,11200,1,5,5,1965,1965,0.0,3,3,3.0,3.0,1.0,906.0,0.0,5,1,1040,3,1,3,5,7,0,0.0,1965.0,1.0,384.0,3.0,3.0,0,129500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2080.0,2.0,0,0,0,0,0,0,384.0,135.0,0.0,5200
100.0,9670,2,8,6,1935,1950,40.0,3,3,3.0,2.0,1.0,210.0,0.0,3,1,1873,4,1,3,9,7,2,4.0,1935.0,2.0,786.0,2.0,3.0,0,257076,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2481.0,2.0,207,0,0,0,0,1,1572.0,216.0,8.0,16857
60.0,10998,1,5,5,1941,1960,0.0,3,3,3.0,3.0,1.0,408.0,420.0,5,1,1604,3,1,3,6,5,0,0.0,1977.0,2.0,660.0,3.0,3.0,0,117000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2588.0,2.0,68,0,0,0,0,0,1320.0,135.0,0.0,9624
60.0,7200,1,7,6,1931,2000,0.0,3,2,4.0,3.0,1.0,0.0,0.0,3,1,1502,3,1,3,6,7,1,4.0,1931.0,1.0,270.0,3.0,3.0,0,149000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2278.0,2.0,112,0,0,0,0,1,270.0,252.0,4.0,9012
80.0,9920,1,5,5,1954,1954,110.0,3,3,3.0,3.0,1.0,354.0,290.0,3,1,1063,3,1,3,6,7,0,0.0,1954.0,1.0,280.0,3.0,3.0,0,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2119.0,2.0,164,0,0,0,0,0,280.0,135.0,0.0,6378
36.0,2448,1,7,5,2003,2004,106.0,4,3,4.0,3.0,1.0,0.0,0.0,5,1,1626,2,1,4,6,7,0,0.0,2003.0,2.0,474.0,3.0,3.0,0,155000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2390.0,3.0,27,0,0,0,0,0,948.0,448.0,0.0,9756
